Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	(Everett	Theresa (Terri)		C	NC07	2020	9/15/2020	10038978
	(Everett	Theresa (Terri)		X	NC07	2020	9/16/2020	30011600
	Abernathy	Kent		C	IN05	2020	4/28/2020	10035159
	Acosta	Christian F.		C	FL21	2020	5/15/2020	10036022
Hon.	Adams	Alma Shealey		O	NC12	2020	9/1/2021	10043648
Hon.	Adams	Alma Shealey		X	NC12	2020	4/26/2021	30011746
	Adcox	Anthony		D	TN05	2020	3/12/2020	8217076
Hon.	Aderholt	Robert B.		O	AL04	2020	8/13/2021	10042695
Hon.	Aderholt	Robert B.		X	AL04	2020	4/26/2021	30011754
	Adkins	Amanda		C	KS03	2020	5/15/2020	10035638
Ms.	Afendoulis	Lynn Ann		C	MI03	2020	5/15/2020	10035931
Dr.	Aguilar	Erick Javier		C	FL04	2020	5/3/2020	10035513
Hon.	Aguilar	Pete		O	CA31	2020	8/3/2021	10042324
Hon.	Aguilar	Pete		X	CA31	2020	4/26/2021	30011760
	Akindude	Kemi		C	NY11	2020	9/29/2020	10037541
	Akindude	Kemi		X	NY11	2020	8/10/2020	30011585
	Albors	Juan Carlos		W	PR00	2020	2/6/2020	7685
	Allen	Brian		C	PA10	2020	8/28/2021	10041764
	Allen	Brian		D	PA10	2020	1/14/2021	8217814
Dr.	Allen	Jay Thomas		C	ME01	2020	5/14/2020	10035145
Hon.	Allen	Richard W.		A	GA12	2020	10/20/2021	10043832
Hon.	Allen	Richard W.		O	GA12	2020	7/21/2021	10041000
Hon.	Allen	Richard W.		P	GA12	2020	7/20/2020	20016985
Hon.	Allen	Richard W.		P	GA12	2020	8/18/2020	20017164
Hon.	Allen	Richard W.		P	GA12	2020	10/6/2020	20017470
Hon.	Allen	Richard W.		X	GA12	2020	4/26/2021	30011780
Hon.	Allred	Colin		O	TX32	2020	8/13/2021	10042542
Hon.	Allred	Colin		X	TX32	2020	4/26/2021	30011783
	Almonord	Valbrun		C	GA03	2020	4/9/2020	10034819
	Alvarez	Andrew Ruben		C	TX22	2020	7/1/2020	10036661
	Alvarez	Andrew Ruben		D	TX22	2020	7/16/2020	8217393
Hon.	Amash	Justin		P	MI03	2020	4/15/2020	20016417
	Amling	Dane		D	AZ07	2020	4/27/2020	8217195
Hon.	Amodei	Mark E.		O	NV02	2020	8/2/2021	10041484
Hon.	Amodei	Mark E.		X	NV02	2020	4/26/2021	30011792
	Anderson	Paul		D	NE02	2020	4/8/2020	8217143
	Andrews	Aliscia		C	VA10	2020	5/18/2020	10036078
Mr.	Aquino	Darren Dione		A	FL19	2020	5/27/2020	10036214
Mr.	Aquino	Darren Dione		C	FL19	2020	5/18/2020	10035073
	Arballo	Phil		C	CA22	2020	5/15/2020	10035762
	Archerd	Charles Wallace		C	NC11	2020	1/18/2020	10032448
	Arenholz	Ashley Hinson		C	IA01	2020	5/14/2020	10035891
Mr.	Arlinghaus	William Philip		D	TN01	2020	4/15/2020	40002975
	Armendariz-Jackson	Irene		C	TX16	2020	6/11/2020	10036409
Hon.	Armstrong	Kelly		O	ND01	2020	8/12/2021	10042511
Hon.	Armstrong	Kelly		X	ND01	2020	4/26/2021	30011826
Dr.	Arredondo-Lynch	Alma G.		C	TX23	2020	1/31/2022	10044511
Hon.	Arrington	Jodey Cook		O	TX19	2020	8/13/2021	10042183
Hon.	Arrington	Jodey Cook		X	TX19	2020	4/26/2021	30011831
	Asamoa-Caesar	Kojo		C	OK01	2020	5/15/2020	10035940
	Ashcraft	Lauren		C	NY12	2020	5/20/2020	10035901
	Ashcraft	Lauren		X	NY12	2020	5/20/2020	30011523
	Askar	Casey		C	FL19	2020	7/13/2020	10034784
	Askar	Casey		X	FL19	2020	4/28/2020	30011451
	Askar	Casey		X	FL19	2020	6/10/2020	30011561
	Auchincloss	Jake		C	MA04	2020	8/13/2020	10035322
	Auchincloss	Jake		X	MA04	2020	5/11/2020	30011471
Hon.	Auchincloss	Jake		A	MA04	2020	7/29/2021	10040845
Hon.	Auchincloss	Jake		A	MA04	2020	4/10/2022	10044769
Hon.	Auchincloss	Jake		A	MA04	2020	4/10/2022	10044768
Hon.	Auchincloss	Jake		H	MA04	2020	7/29/2021	10040680
Hon.	Auchincloss	Jake		X	MA04	2020	4/26/2021	30011676
Hon.	Axne	Cindy		A	IA03	2020	10/8/2021	10043827
Hon.	Axne	Cindy		O	IA03	2020	7/15/2021	10041493
Hon.	Axne	Cindy		X	IA03	2020	4/26/2021	30011849
	Babbage	Lisa Noel		C	GA07	2020	5/15/2020	10035992
Hon.	Babin	Brian		O	TX36	2020	8/13/2021	10043193
Hon.	Babin	Brian		X	TX36	2020	4/26/2021	30011853
Hon.	Bacon	Donald John		O	NE02	2020	8/4/2021	10041547
Hon.	Bacon	Donald John		X	NE02	2020	4/26/2021	30011856
	Bacon	Mary		C	WA10	2020	7/2/2020	10036415
	Bacon	Mary		D	WA10	2020	7/9/2020	8217373
	Bacon	Mary		X	WA10	2020	6/30/2020	30011567
	Bah	Iman-Utopia Layjou		C	AZ02	2020	4/17/2020	10035089
Mr.	Bailey	Corey Ryan		C	WA08	2020	7/25/2020	10037190
Hon.	Baird	James R Dr		O	IN04	2020	8/13/2021	10042980
Hon.	Baird	James R Dr		X	IN04	2020	4/26/2021	30011862
	Bakari	Kamau		C	NV01	2020	6/16/2020	10036460
	Baker	Devin		D	FL02	2020	3/18/2020	8217095
	Balderson	Troy		A	OH12	2020	10/1/2021	10043807
	Balderson	Troy		O	OH12	2020	8/13/2021	10042269
	Balderson	Troy		X	OH12	2020	4/26/2021	30011868
Mr.	Ballard	William Howard	IV	X	MO05	2020	9/4/2020	30011599
	Balter	Dana		C	NY24	2020	5/23/2020	10035624
	Balter	Dana		X	NY24	2020	5/11/2020	30011487
	Bamezquita	Alberto		D	TX20	2020	3/17/2020	8217090
Hon.	Banks	James E Hon		O	IN03	2020	7/27/2021	10040942
Hon.	Banks	James E Hon		X	IN03	2020	4/26/2021	30011876
Hon.	Banks	James E.		P	IN03	2020	7/20/2020	20016981
Hon.	Banks	James E.		P	IN03	2020	8/12/2020	20017133
Hon.	Banks	James E.		P	IN03	2020	8/17/2020	20017201
Hon.	Banks	James E.		P	IN03	2020	9/15/2020	20017359
Hon.	Banks	James E.		P	IN03	2020	10/6/2020	20017471
Hon.	Banks	James E.		P	IN03	2020	12/17/2020	20017843
	Banyai	Cindy Lyn		C	FL19	2020	6/9/2020	10036367
	Barge	John D.		C	GA14	2020	4/18/2020	10035142
	Barham	Jerry		C	MO05	2020	7/5/2020	10036677
	Barnett	Kali		C	KS/01	2020	5/14/2020	10035611
	Barnett	Kali		C	KS00	2020	5/14/2020	10035806
	Barnette	Kathy		C	PA04	2020	4/2/2020	10034744
Mr.	Barone	Roger Richard		D	TX03	2020	4/15/2020	8217154
Hon.	Barr	Garland "Andy"		O	KY06	2020	8/5/2021	10042218
Hon.	Barr	Garland "Andy"		X	KY06	2020	4/26/2021	30011887
Hon.	Barragan	Nanette		O	CA44	2020	4/30/2021	10040102
Hon.	Barragan	Nanette		X	CA44	2020	4/26/2021	30011889
	Barresi	Janet		C	OK05	2020	5/13/2020	10035844
	Barresi	Peter Robert		C	CT05	2020	6/8/2020	10036353
Mr.	Barrett	James Kevin		W		2020		8217033
	Barthelemy	Mykel Lynn		C	GA06	2020	5/15/2020	10035991
	Barthelemy	Mykel Lynn		C	GA06	2020	5/15/2020	10035991
	Basaran	Alpaslan		C	NJ09	2020	5/10/2020	10035709
Hon.	Bass	Karen		O	CA37	2020	8/13/2021	10042592
Hon.	Bass	Karen		X	CA37	2020	4/26/2021	30011902
	Batu	David		D	MI11	2020	3/4/2020	40002924
	Bauer	Mark Andrew		A	TX24	2020	8/27/2020	10038857
	Bauer	Mark Andrew		A	TX24	2020	9/14/2020	10039084
	Bauer	Mark Andrew		C	TX24	2020	8/26/2020	10038856
	Beach	Carl		D	WY00	2020	4/6/2020	8217128
Hon.	Beatty	Joyce		O	OH03	2020	9/9/2021	10043705
Hon.	Beatty	Joyce		X	OH03	2020	4/26/2021	30011915
	Becchi	Rosemary		C	NJ11	2020	8/13/2020	10036024
	Becchi	Rosemary		X	NJ11	2020	5/27/2020	30011552
	Beckwith	Micah		C	IN05	2020	6/15/2020	10035863
	Beckwith	Micah		X	IN05	2020	5/20/2020	30011517
	Beehler	Michael E.		C	KS03	2020	5/15/2020	10035770
	Bell	Jarome		A	VA02	2020	4/19/2020	10035157
	Bell	Jarome		C	VA02	2020	4/19/2020	10035156
	Belsito	Jamie Marie Zahlaway		C	MA06	2020	6/13/2020	10035484
Mr.	Benjamin	Leon	Sr.	C	VA04	2020	5/15/2020	10035833
Mr.	Benjamin	Leon	Sr.	D	VA04	2020	1/29/2020	40002847
Ms.	Ben-Moyal	Karen		C	TX14	2020	5/16/2020	10035216
	Bennett	Ashley		C	NJ02	2020	4/29/2020	10035401
	Bennett	Ashley		W	NJ02	2020	4/30/2020	7750
	Bennett	Lynda		C	NC11	2020	3/3/2020	8217047
	Bentz	Cliff		A	OR02	2020	1/25/2021	10039460
	Bentz	Cliff		C	OR02	2020	5/4/2020	10035063
Hon.	Bentz	Cliff		H	OR02	2020	8/9/2021	10041270
Hon.	Bentz	Cliff		X	OR02	2020	4/26/2021	30011677
Hon.	Bera	Ami		O	CA07	2020	8/4/2021	10041885
Hon.	Bera	Ami		X	CA07	2020	4/26/2021	30011942
	Berghoef	Bryan		C	MI02	2020	6/10/2020	10035829
	Berghoef	Bryan		X	MI02	2020	5/20/2020	30011512
Hon.	Bergman	John		O	MI01	2020	7/29/2021	10041937
Hon.	Bergman	John		X	MI01	2020	4/26/2021	30011946
	Bergmann	Charlotte		C	TN09	2020	5/14/2020	10034835
	Bernstein	Cathy		C	NY10	2020	5/15/2020	10035799
Mrs.	Berry	Miriam		D	VT00	2020	10/2/2020	8217669
Mrs.	Berry	Miriam		D	VT00	2020	12/3/2020	8217757
Mrs.	Berry	Miriam		W		2020		8217758
	Betts	Nicholas		C	VA06	2020	6/15/2020	10036346
	Betts	Nicholas		D	VA06	2020	5/20/2020	40003012
Hon.	Beyer	Donald Sternoff	Jr	P	VA08	2020	1/2/2020	20013832
Hon.	Beyer	Donald Sternoff	Jr	P	VA08	2020	2/22/2020	20016099
Hon.	Beyer	Donald Sternoff	Jr	P	VA08	2020	2/22/2020	20016101
