Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Aasen	Andrew J.		C	OR05	2023	8/5/2023	10055494
	Abel	William		D	TX31	2023	5/15/2023	40003491
	Adams	Sheryl L.		C	CA49	2023	6/23/2023	10055162
	Aguilar	Ylenia		X	AZ03	2023	6/23/2023	8219800
	Agwan	Pervez S.		X	TX07	2023	5/9/2023	30018260
	Alexander	Timothy C.		C	NJ02	2023	6/4/2023	10054985
Hon.	Alford	Mark		X	MO04	2023	5/24/2023	8219662
Hon.	Allen	Richard W.		P	GA12	2023	6/2/2023	20022986
Hon.	Allen	Richard W.		P	GA12	2023	8/10/2023	20023082
	Altman	Susan Copius		X	NJ07	2023	7/12/2023	8219827
	Amo	Gabe F.		C	RI01	2023	5/23/2023	10054888
	Anderson	Jo		X	IN03	2023	8/9/2023	30019370
Mr.	Andrews	Russ Albert		C	CO03	2023	5/18/2023	10054830
	Antropov	Jayden		D	FL22	2023	4/14/2023	40003475
	Arballo	Phil		C	CA13	2023	5/15/2023	10054299
	Arceo	Miguel Angel		C	CA23	2023	5/9/2023	10053571
	Archuleta	Bob		C	CA31	2023	8/11/2023	10053004
	Archuleta	Bob		X	CA31	2023	5/9/2023	30018213
Mr.	Atkinson	Ed Ray		C	TX18	2023	5/7/2023	10053230
Hon.	Auchincloss	Jake		G	MA04	2023	5/24/2023	8219737
	Autiello	Nicholas		C	RI01	2023	5/15/2023	10052066
Mr.	Avila	Victor	Jr.	C	TX23	2023	5/11/2023	10052598
Hon.	Axne	Cindy		P	IA03	2023	1/2/2023	20022202
Hon.	Axne	Cindy		T	IA03	2023	1/28/2023	10050798
Hon.	Babin	Brian		P	TX36	2023	6/9/2023	20005641
Mr.	Bach	Kenneth James		C	PA14	2023	7/4/2023	10055215
	Bailey	Darren		C	IL12	2023	8/16/2023	10055393
	Bailey	Darren		X	IL12	2023	8/1/2023	30019363
	Baker	David		C	PA11	2023	8/18/2023	10055720
	Baker	Dennis		C	OK01	2023	7/7/2023	10055243
	Baker	Dennis		D	OK01	2023	5/25/2023	40003494
	Balekian	Alex Arto		C	CA30	2023	5/16/2023	10054800
Hon.	Banks	James E Hon		P	IN03	2023	6/21/2023	20023168
	Banweg	Chris		C	OH13	2023	8/14/2023	10055679
	Barr	Callie		C	MI01	2023	5/15/2023	10054656
Hon.	Barr	Garland "Andy"		G	KY06	2023	1/12/2023	8219331
	Barry	Sean Justin		C	TX29	2023	2/21/2023	10050940
	Baugh	Scott		C	CA47	2023	4/14/2023	10051011
	Begich	Nicholas	III	X	AK00	2023	8/9/2023	30019368
Mr.	Bennett	Jim		C	GA03	2023	7/28/2023	10055414
Hon.	Bentz	Cliff		P	OR02	2023	5/3/2023	20022850
	Berbrick	Walter		C	RI01	2023	6/26/2023	8219807
Hon.	Beyer	Donald Sternoff	Jr	P	VA08	2023	3/3/2023	20022418
Hon.	Beyer	Donald Sternoff	Jr	P	VA08	2023	4/5/2023	20022603
