Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Banks	James E Hon		P	IN03	2021	9/14/2021	20019484
Hon.	Banks	James E Hon		P	IN03	2021	10/17/2021	20019642
Hon.	Banks	James E Hon		P	IN03	2021	11/10/2021	20019793
Hon.	Banks	James E Hon		P	IN03	2021	12/13/2021	20020002
	Banyai	Cindy Lyn		C	FL19	2021	10/28/2021	10043957
	Barbour	Devan		C	NC04	2021	12/17/2021	10044230
	Barbour	Devan		X	NC04	2021	12/20/2021	30015212
	Barker	John		C	NJ03	2021	12/8/2021	10044157
Hon.	Barnes	John E.	Jr.	C	OH11	2021	5/14/2021	10040419
Hon.	Barr	Garland "Andy"		O	KY06	2021	5/11/2022	10047004
	Barr	Timothy		C	GA10	2021	9/11/2021	10040655
	Barr	Timothy		X	GA10	2021	6/8/2021	30014932
Hon.	Barragan	Nanette		O	CA44	2021	5/9/2022	10047787
	Barrett	Thomas More		C	MI07	2021	3/17/2022	10044193
	Barrett	Thomas More		X	MI07	2021	12/13/2021	30015194
	Barrios Moreno	Darien D.		C	KY03	2021	10/8/2021	10043854
Hon.	Bass	Karen		O	CA37	2021	8/12/2022	10048274
Hon.	Bass	Karen		X	CA37	2021	5/16/2022	30017250
	Batchelor	James Eric		C	NC11	2021	8/7/2021	10042624
	Bates	Betsy		D	TX08	2021	6/28/2021	40003219
	Baxter	Tim		C	NH01	2021	8/12/2021	10043065
	Beach-Ferrara	Jasmine		C	NC11	2021	8/12/2021	10040258
	Beach-Ferrara	Jasmine		X	NC11	2021	5/11/2021	30014901
	Bean	Lydia		C	TX06	2021	3/31/2021	10039697
	Beatty	John		C	VA10	2021	5/13/2021	10040382
Hon.	Beatty	Joyce		O	OH03	2021	5/12/2022	10048353
	Beaubouef	Richard Quinton		C	TX37	2021	12/10/2021	10044198
	Becker	April		A	NV03	2021	8/25/2021	10043605
	Becker	April		A	NV03	2021	7/26/2022	10050055
	Becker	April		C	NV03	2021	8/13/2021	10040037
	Becker	April		X	NV03	2021	5/5/2021	30014883
	Becker	Nina		C	AZ07	2021	10/7/2021	8218394
	Beckley	Michelle		X	TX24	2021	8/23/2021	30015057
	Begich	Nicholas	III	C	AK00	2021	2/17/2022	10044051
	Begich	Nicholas	III	X	AK00	2021	11/30/2021	30015158
	Bell	Douglas A.		D	AL03	2021	5/14/2021	40003187
	Bellingham	Christopher		D	CA25	2021	5/11/2021	8218023
	Benavides	Tannya		C	TX28	2021	11/2/2021	10043980
	Benfield	Erika		C	FL07	2021	11/5/2021	10043302
	Benfield	Erika		X	FL07	2021	8/23/2021	30015040
Mr.	Benjamin	Leon	Sr.	C	VA04	2021	5/15/2021	10040405
	Benson	Erik		C	IN06	2021	7/30/2021	10042057
	Bentley	Karen W.		C	NC13	2021	1/27/2022	10044453
Hon.	Bentz	Cliff		O	OR02	2021	5/18/2022	10047220
Hon.	Bentz	Cliff		X	OR02	2021	5/14/2022	30017078
Hon.	Bera	Ami		O	CA07	2021	8/3/2022	10047610
Hon.	Bera	Ami		X	CA07	2021	5/15/2022	30017141
Hon.	Bera	Ami		X	CA07	2021	6/24/2022	30017556
Mr.	Berg	Matthew Richard		C	TX22	2021	3/12/2021	10039617
Hon.	Bergman	John		O	MI01	2021	6/8/2022	10049703
	Bernard	Claston		C	LA02	2021	3/10/2021	10039601
	Betts	Greg		C	OH15	2021	7/4/2021	10041096
Hon.	Beyer	Donald Sternoff	Jr.	O	VA08	2021	5/8/2022	10046623
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	1/1/2021	20017909
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	1/31/2021	20018096
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	2/27/2021	20018292
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	4/1/2021	20018431
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	5/1/2021	20018597
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	6/7/2021	20018752
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	7/4/2021	20019022
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	8/7/2021	20019110
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	9/2/2021	20019339
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	10/1/2021	20019506
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	10/30/2021	20019648
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	12/2/2021	20019895
Hon.	Bice	Stephanie		O	OK05	2021	8/13/2022	10049059
Hon.	Bice	Stephanie		P	OK05	2021	8/12/2021	20019292
Hon.	Bice	Stephanie		X	OK05	2021	5/16/2022	30017229
Hon.	Biggs	Andy		O	AZ05	2021	5/10/2022	10047344
Hon.	Bilirakis	Gus M.		A	FL12	2021	6/13/2023	8219784
Hon.	Bilirakis	Gus M.		O	FL12	2021	5/13/2022	8218858
Hon.	Bilirakis	Gus M.		P	FL12	2021	10/29/2021	8218417
	Billand	Michael Alan		C	TX02	2021	6/24/2021	8218127
	Bish	Christine		C	CA06	2021	5/14/2021	10040451
Hon.	Bishop	Dan Daniel		O	NC09	2021	5/15/2022	10047555
	Bishop	Laurie		C	MT00	2021	8/28/2021	10043553
Hon.	Bishop	Rob		T	UT01	2021	2/4/2021	8217836
Hon.	Bishop	Sanford D.	Jr.	O	GA02	2021	5/13/2022	10048151
	Blalock	Kevin Andrew		C	AL05	2021	10/27/2021	10043852
	Blalock	Kevin Andrew		D	AL05	2021	10/6/2021	40003259
	Blasi	Michael		C	NJ04	2021	9/17/2021	10043612
	Blasi	Michael		X	NJ04	2021	8/30/2021	30015058
Hon.	Blumenauer	Earl		O	OR03	2021	5/15/2022	10045048
Hon.	Blumenauer	Earl		P	OR03	2021	1/6/2021	20017979
Hon.	Blumenauer	Earl		P	OR03	2021	2/3/2021	20018142
Hon.	Blumenauer	Earl		P	OR03	2021	3/3/2021	20018321
Hon.	Blumenauer	Earl		P	OR03	2021	3/5/2021	20018338
Hon.	Blumenauer	Earl		P	OR03	2021	4/2/2021	20018506
Hon.	Blumenauer	Earl		P	OR03	2021	5/4/2021	20018685
Hon.	Blumenauer	Earl		P	OR03	2021	5/27/2021	20018812
Hon.	Blumenauer	Earl		P	OR03	2021	5/28/2021	20018819
Hon.	Blumenauer	Earl		P	OR03	2021	6/9/2021	20018890
Hon.	Blumenauer	Earl		P	OR03	2021	7/5/2021	20019026
Hon.	Blumenauer	Earl		P	OR03	2021	8/2/2021	20019221
Hon.	Blumenauer	Earl		P	OR03	2021	8/20/2021	20019364
Hon.	Blumenauer	Earl		P	OR03	2021	9/7/2021	20019438
Hon.	Blumenauer	Earl		P	OR03	2021	10/5/2021	20019580
Hon.	Blumenauer	Earl		P	OR03	2021	10/12/2021	20019618
Hon.	Blumenauer	Earl		P	OR03	2021	10/12/2021	20019619
Hon.	Blumenauer	Earl		P	OR03	2021	11/7/2021	20019771
Hon.	Blumenauer	Earl		P	OR03	2021	11/22/2021	20019869
Hon.	Blumenauer	Earl		P	OR03	2021	12/8/2021	20019979
Hon.	Blunt Rochester	Lisa		O	DE00	2021	6/21/2022	10047738
Hon.	Blunt Rochester	Lisa		X	DE00	2021	5/13/2022	8218736
Hon.	Boebert	Lauren		O	CO03	2021	8/13/2022	10050195
Hon.	Boebert	Lauren		X	CO03	2021	6/7/2022	8218944
	Bognet	Jim		C	PA08	2021	2/16/2022	10044069
	Bognet	Jim		X	PA08	2021	11/30/2021	30015160
	Bohannan	Christina		C	IA02	2021	10/18/2021	10043890
Hon.	Bonamici	Suzanne		O	OR01	2021	7/14/2022	10044947
Hon.	Bonamici	Suzanne		X	OR01	2021	4/13/2022	30015337
	Borghese	Rene		C	NC04	2021	5/12/2021	10040302
Hon.	Bost	Michael		O	IL12	2021	5/13/2022	10047859
Hon.	Bourdeaux	Carolyn		O	GA07	2021	8/12/2022	10047645
Hon.	Bourdeaux	Carolyn		X	GA07	2021	5/7/2022	30016654
Hon.	Bowman	Jamaal		O	NY16	2021	6/14/2022	10049744
Hon.	Boyle	Brendan F.		O	PA02	2021	6/14/2022	10049760
	Bradley	Christopher		C	FL14	2021	11/9/2021	10043997
Hon.	Brady	Kevin		X	TX08	2021	5/17/2022	8218831
	Brattin	Richard Ray		C	MO04	2021	12/8/2021	10044185
	Brazeal	Brian James		C	TX26	2021	1/20/2022	10044293
	Brazeal	Brian James		X	TX26	2021	1/3/2022	30015228
Mr.	Brelsford	Gregg Bowyer		C	AK00	2021	10/5/2021	10041384
Mr.	Brelsford	Gregg Bowyer		X	AK00	2021	7/19/2021	30014983
Hon.	Brindisi	Anthony		C	NY22	2021	2/10/2021	10039525
Ms.	Brooks	Linda Susan		A	FL02	2021	5/6/2021	8218013
Ms.	Brooks	Linda Susan		C	FL02	2021	4/30/2021	10040117
Ms.	Brooks	Linda Susan		C	FL02	2021	5/3/2021	8218012
Hon.	Brooks	Mo		O	AL05	2021	5/15/2022	10048259
Hon.	Brooks	Mo		P	AL05	2021	1/26/2021	20018077
Hon.	Brooks	Mo		P	AL05	2021	2/12/2021	20018204
Hon.	Brooks	Mo		P	AL05	2021	2/16/2021	20018223
Hon.	Brooks	Mo		P	AL05	2021	4/20/2021	20018605
Hon.	Brooks	Mo		P	AL05	2021	5/28/2021	20018822
Hon.	Brooks	Mo		P	AL05	2021	7/10/2021	20019066
Hon.	Brooks	Mo		P	AL05	2021	8/6/2021	20019249
Hon.	Brooks	Mo		P	AL05	2021	10/14/2021	20019626
	Brooks	Raymond N.		C	MS04	2021	5/29/2021	10040650
Hon.	Brooks	Susan W.		T	IN05	2021	5/4/2021	10039600
	Brotschol	Hillery		C	NJ11	2021	5/15/2021	10039578
Dr.	Broun	Paul C.		C	GA10	2021	5/8/2021	10040271
Hon.	Brown	Anthony		A	MD04	2021	1/14/2023	10050631
Hon.	Brown	Anthony		O	MD04	2021	4/26/2022	10046265
	Brown	Jesse		A	MA09	2021	11/10/2021	10043888
	Brown	Jesse		C	MA09	2021	10/1/2021	10042683
	Brown	Mary Kathleen		C	TX13	2021	9/9/2021	8218331
	Brown	Mary Kathleen		X	TX13	2021	6/17/2021	30014936
	Brown	Nathan K.		C	CA16	2021	8/31/2021	10043489
Hon.	Brownley	Julia		O	CA26	2021	6/10/2022	10047027
Hon.	Brownley	Julia		X	CA26	2021	5/13/2022	30017070
	Bruce	Kalena		C	MO04	2021	11/3/2021	10043748
	Bruce	Kalena		X	MO04	2021	9/21/2021	30015084
	Bucardo	Jennyfer		C	NC13	2021	11/9/2021	10044010
Hon.	Buchanan	Vern		O	FL16	2021	5/13/2022	10047921
Hon.	Buchanan	Vern		P	FL16	2021	1/18/2021	20018041
Hon.	Buchanan	Vern		P	FL16	2021	2/25/2021	20018280
Hon.	Buchanan	Vern		P	FL16	2021	4/28/2021	20018648
Hon.	Buchanan	Vern		P	FL16	2021	6/2/2021	20018836
Hon.	Buchanan	Vern		P	FL16	2021	8/9/2021	20019269
Hon.	Buck	Kenneth R.		O	CO04	2021	5/14/2022	10046116
Hon.	Buck	Kenneth R.		P	CO04	2021	10/17/2021	20019641
Hon.	Bucshon	Larry		O	IN08	2021	5/15/2022	10048070
Hon.	Bucshon	Larry		P	IN08	2021	11/1/2021	20019726
Hon.	Budd	Theodore P.		O	NC13	2021	8/12/2022	10047528
Hon.	Budd	Theodore P.		X	NC13	2021	5/12/2022	30016945
	Budzinski	Nikki		A	IL13	2021	5/13/2022	10048602
	Budzinski	Nikki		C	IL13	2021	10/20/2021	10043893
Hon.	Budzinski	Nikki		A	IL13	2021	5/31/2023	10053007
	Buerger	Colin		C	CO03	2021	11/15/2021	10043720
	Buerger	Colin		X	CO03	2021	9/13/2021	30015082
	Buerger	Colin		X	CO03	2021	10/18/2021	30015118
	Buford	James R.		C	TX06	2021	9/14/2021	10043738
	Buongiorno	Jeffrey D.		C	FL21	2021	7/20/2022	10050015
	Burau	Justin		D	IL06	2021	4/29/2021	40003169
Hon.	Burchett	Tim		O	TN02	2021	8/12/2022	10045015
Hon.	Burchett	Tim		X	TN02	2021	4/13/2022	30015343
	Burg	David Loren		C	NJ04	2021	1/9/2022	10044350
Hon.	Burgess	Michael C.		O	TX26	2021	8/12/2022	10048624
Hon.	Burgess	Michael C.		P	TX26	2021	11/17/2021	20019844
Hon.	Burgess	Michael C.		P	TX26	2021	12/31/2021	20019995
Hon.	Burgess	Michael C.		X	TX26	2021	5/13/2022	30017014
	Burks	Taylor		C	MO04	2021	11/1/2021	10041746
	Burks	Taylor		X	MO04	2021	8/3/2021	30014994
	Burlison	Eric		C	MO07	2021	7/1/2022	10043776
	Burlison	Eric		X	MO07	2021	10/5/2021	30015106
	Burnett	Debora Lynn		D	CO03	2021	6/7/2021	40003214
	Burns	Emily		X	MA04	2021	11/3/2021	30015132
Mr.	Burns	Robert Andrew Mr		C	NH00	2021	9/27/2021	10043808
	Burril	Matthew		C	NC14	2021	5/3/2022	10047272
Ms.	Burrows	Candice Cunningham		C	TX08	2021	11/8/2021	10044003
	Burton	Daniel Leroy	Jr.	C	PA00	2021	5/11/2021	10040226
Hon.	Bush	Cori		O	MO01	2021	6/1/2022	10048372
Hon.	Bustos	Cheri		O	IL17	2021	7/27/2022	10047926
Hon.	Bustos	Cheri		P	IL17	2021	8/3/2021	20019001
Hon.	Bustos	Cheri		X	IL17	2021	5/9/2022	30016726
	Buttar	Shahid		C	CA12	2021	5/17/2021	10040448
Hon.	Butterfield	G. K.		O	NC01	2021	5/12/2022	10047527
Hon.	Byrne	Bradley		T	AL01	2021	7/9/2021	8218151
	Cabrera	Ed		C	TX28	2021	11/1/2021	10043976
Hon.	Calvert	Ken		O	CA42	2021	5/16/2022	10046139
Hon.	Cammack	Kat		O	FL03	2021	8/24/2022	10048972
Hon.	Cammack	Kat		X	FL03	2021	5/16/2022	30017183
	Canepa	David		C	CA14	2021	3/18/2022	10044236
	Canepa	David		X	CA14	2021	12/20/2021	30015210
Mr.	Cannon	Beau Alexander Ryan		C	GA11	2021	5/2/2021	10039741
Mr.	Cannon	Beau Alexander Ryan		D	GA11	2021	4/29/2021	8218004
	Caraveo	Yadira		C	CO08	2021	12/21/2021	10044206
	Caraveo	Yadira		X	CO08	2021	10/7/2021	8218389
Hon.	Carbajal	Salud O.		O	CA24	2021	7/29/2022	10048340
Hon.	Carbajal	Salud O.		X	CA24	2021	5/12/2022	30016900
