Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Banks	James E Hon		O	IN03	2022	4/11/2023	10051603
	Banks	Subrina		C	OK05	2022	5/23/2022	10048289
	Banks	Subrina		X	OK05	2022	5/13/2022	8218738
	Barham	Jerry		C	MO05	2022	6/30/2022	10049809
	Barker	Guy Stuart		C	OK02	2022	6/2/2022	10048380
	Barker	Guy Stuart		X	OK02	2022	5/17/2022	30017003
	Barker	John		C	NJ02	2022	5/26/2022	10049543
	Barnes-Israel	Stu		C	IN09	2022	4/1/2022	10044636
Hon.	Barr	Garland "Andy"		O	KY06	2022	5/9/2023	10051233
	Barr	Timothy		C	GA10	2022	5/13/2022	10047245
Hon.	Barragan	Nanette		O	CA44	2022	4/13/2023	10052000
	Barrett	Thomas More		C	MI07	2022	6/30/2022	10048964
	Barrett	Thomas More		X	MI07	2022	6/6/2022	30017181
	Barrett	Thomas More		X	MI07	2022	6/24/2022	30017548
	Barrios Moreno	Darien D.		C	KY03	2022	5/6/2022	10046503
	Bartlett	Lisa		C	CA49	2022	5/10/2022	10047687
	Basler	Douglas Michael		C	WA09	2022	3/1/2022	10044650
Hon.	Bass	Karen		T	CA37	2022	4/2/2023	10050722
Hon.	Bass	Karen		X	CA37	2022	1/5/2023	30017727
Hon.	Bass	Karen		X	CA37	2022	3/10/2023	30017786
	Batchelor	Geni (Eugenia) Marie		C	TN05	2022	5/12/2022	10044696
	Baugh	Scott		C	CA47	2022	4/22/2022	10044411
	Baugh	Scott		X	CA47	2022	1/26/2022	30015256
	Baxter	Tim		C	NH01	2022	8/24/2022	10048893
	Baxter	Tim		X	NH01	2022	6/7/2022	30017152
	Beach	Emily		C	CA15	2022	5/10/2022	8218706
	Beach-Ferrara	Jasmine		A	NC11	2022	9/20/2022	10050218
	Beach-Ferrara	Jasmine		C	NC11	2022	8/12/2022	10049937
	Beach-Ferrara	Jasmine		X	NC11	2022	6/27/2022	8219046
	Beach-Ferrara	Jasmine		X	NC11	2022	7/13/2022	30017590
	Bean	Aaron P.		C	FL04	2022	6/29/2022	10049882
Hon.	Bean	Aaron P.		H	FL04	2022	5/12/2023	10052049
	Beard	James		C	KS01	2022	7/1/2022	10049885
	Beardsley	Benjamin Ryan		X	MD03	2022	6/22/2022	30016868
	Beatty	John		A	VA10	2022	5/13/2022	10048575
	Beatty	John		C	VA10	2022	5/13/2022	10048553
Hon.	Beatty	Joyce		O	OH03	2022	5/15/2023	10053853
	Becker	April		C	NV03	2022	5/16/2022	10047760
	Beckwith	David		C	VA10	2022	4/17/2022	10046278
	Begich	Nicholas	III	C	AK00	2022	5/14/2022	10047053
	Begich	Nicholas	III	X	AK00	2022	7/13/2022	30016647
	Bell	Douglas A.		C	AL03	2022	5/12/2022	10047240
	Beltran	Joaquin		C	CA42	2022	5/8/2022	10044734
	Belzer	Brian T.		C	LA06	2022	8/28/2022	10050329
Mr.	Benjamin	Leon	Sr.	C	VA04	2022	5/16/2022	10048912
Hon.	Bentz	Cliff		O	OR02	2022	5/11/2023	10052052
Hon.	Bentz	Cliff		P	OR02	2022	12/7/2022	20022097
Hon.	Bergman	John		O	MI01	2022	5/15/2023	10054723
	Bergmann	Charlotte		C	TN09	2022	5/9/2022	10047767
Hon.	Beyer	Donald Sternoff	Jr	O	VA08	2022	4/22/2023	10051827
Hon.	Beyer	Donald Sternoff	Jr.	P	VA08	2022	1/1/2022	20020047
Hon.	Beyer	Donald Sternoff	Jr.	P	VA08	2022	2/1/2022	20020251
Hon.	Beyer	Donald Sternoff	Jr.	P	VA08	2022	3/3/2022	20020354
Hon.	Beyer	Donald Sternoff	Jr.	P	VA08	2022	4/1/2022	20020618
Hon.	Beyer	Donald Sternoff	Jr.	P	VA08	2022	5/1/2022	20020868
Hon.	Beyer	Donald Sternoff	Jr.	P	VA08	2022	6/1/2022	20021091
Hon.	Beyer	Donald Sternoff	Jr.	P	VA08	2022	7/3/2022	20021193
Hon.	Beyer	Donald Sternoff	Jr.	P	VA08	2022	7/29/2022	20021447
Hon.	Beyer	Donald Sternoff	Jr.	P	VA08	2022	12/1/2022	20022048
	Biaggi	Alessandra		C	NY03	2022	6/16/2022	10048919
	Biaggi	Alessandra		X	NY03	2022	6/6/2022	30017363
Hon.	Bice	Stephanie		O	OK05	2022	8/12/2023	10052927
Hon.	Bice	Stephanie		X	OK05	2022	5/3/2023	30018194
Hon.	Biggs	Andy		O	AZ05	2022	8/11/2023	10054191
Hon.	Biggs	Andy		X	AZ05	2022	5/12/2023	30018705
Hon.	Bilirakis	Gus M.		O	FL12	2022	5/15/2023	8219760
	Bish	Christine		C	CA06	2022	5/6/2022	10047588
Hon.	Bishop	Dan Daniel		O	NC08	2022	5/13/2023	10053054
Hon.	Bishop	Dan Daniel		P	NC09	2022	12/1/2022	20022070
Hon.	Bishop	Sanford D.	Jr.	O	GA02	2022	5/11/2023	10053911
	Black	Annie		C	NV04	2022	5/14/2022	10047353
	Black	Colt Morningstar		X	MD08	2022	6/22/2022	30017262
	Black	Dianne Dodson		A	MS01	2022	6/26/2022	10049676
	Black	Dianne Dodson		C	MS01	2022	5/25/2022	10049458
	Black	Karla		C	CA06	2022	5/26/2022	10049524
	Blaxill	Mark		C	MN03	2022	5/9/2022	10047884
	Bloom	Todd		C	WA06	2022	6/16/2022	10049704
Hon.	Blumenauer	Earl		O	OR03	2022	5/15/2023	10051450
Hon.	Blumenauer	Earl		P	OR03	2022	1/6/2022	20020168
Hon.	Blumenauer	Earl		P	OR03	2022	2/7/2022	20020399
Hon.	Blumenauer	Earl		P	OR03	2022	3/7/2022	20020574
Hon.	Blumenauer	Earl		P	OR03	2022	3/22/2022	20020670
Hon.	Blumenauer	Earl		P	OR03	2022	4/1/2022	20020675
Hon.	Blumenauer	Earl		P	OR03	2022	4/13/2022	20020783
Hon.	Blumenauer	Earl		P	OR03	2022	5/5/2022	20020943
Hon.	Blumenauer	Earl		P	OR03	2022	6/5/2022	20021152
Hon.	Blumenauer	Earl		P	OR03	2022	6/7/2022	20021169
Hon.	Blumenauer	Earl		P	OR03	2022	7/6/2022	20021335
Hon.	Blumenauer	Earl		P	OR03	2022	8/8/2022	20021504
Hon.	Blumenauer	Earl		P	OR03	2022	9/5/2022	20021651
Hon.	Blumenauer	Earl		P	OR03	2022	10/5/2022	20021808
Hon.	Blumenauer	Earl		P	OR03	2022	11/10/2022	20021970
Hon.	Blumenauer	Earl		P	OR03	2022	12/4/2022	20022078
Hon.	Blunt Rochester	Lisa		O	DE00	2022	5/11/2023	10053194
Hon.	Boebert	Lauren		O	CO03	2022	5/11/2023	10053834
	Bognet	Jim		C	PA08	2022	8/17/2022	10050238
	Bohannan	Christina		C	IA01	2022	5/12/2022	10047473
	Bomer	Articia		D	MI13	2022	1/26/2022	40003301
Hon.	Bonamici	Suzanne		O	OR01	2022	7/12/2023	10051375
Hon.	Bonamici	Suzanne		X	OR01	2022	4/4/2023	30017853
	Bond	Michelle		C	NY01	2022	8/1/2022	10049865
	Bond	Michelle		X	NY01	2022	7/6/2022	30017571
Hon.	Bost	Michael		O	IL12	2022	6/12/2023	10052831
Hon.	Bost	Michael		X	IL12	2022	5/15/2023	30018915
Mr.	Boucher	Paul David		C	WI08	2022	5/13/2022	10047930
Mr.	Boucher	Paul David		D	WI08	2022	7/7/2022	40003352
Hon.	Bowman	Jamaal		O	NY16	2022	8/15/2023	10055703
Hon.	Bowman	Jamaal		X	NY16	2022	5/24/2023	8219670
Hon.	Boyle	Brendan F.		O	PA02	2022	8/12/2023	10054736
Hon.	Boyle	Brendan F.		X	PA02	2022	5/15/2023	30019007
	Branco	Patrick Pihana		C	HI02	2022	6/7/2022	10049699
	Brecheen	Josh		C	OK02	2022	5/1/2022	10047125
Hon.	Brecheen	Josh		A	OK02	2022	3/9/2023	10051037
Hon.	Brecheen	Josh		H	OK02	2022	5/12/2023	10052934
Mr.	Brelsford	Gregg Bowyer		C	AK00	2022	5/3/2022	10047074
	Brock	Matthew		C	CA04	2022	4/28/2023	10052651
	Brog	David		C	NV01	2022	5/16/2022	10048819
Ms.	Brooks	Linda Susan		A	FL02	2022	6/5/2022	10049674
Ms.	Brooks	Linda Susan		C	FL02	2022	5/15/2022	10048784
Ms.	Brooks	Linda Susan Ms		A	FL02	2022	6/21/2022	8219035
Hon.	Brooks	Mo		P	AL05	2022	3/21/2022	20020661
Hon.	Brooks	Mo		P	AL05	2022	4/26/2022	20020873
Hon.	Brooks	Mo		P	AL05	2022	5/11/2022	20020998
